"","tag","species","Amax","Rd","Trmax","Tr0","FvFm","Fv'/Fm'","NPQ","PhiPS2","qP","qN","SLA","LDMC","thickness","spad","£_15N","N%","£_13C","C%","LDMC.extract","Chlorophylltotal","Chlorophylla","Chlorophyllb","chlorophylla/b"
"26","pi5","pisi",4.23216006963372,-0.5957593,1.34948453756384,0.792332656211867,0.775,0.36,2.123,0.033,0.091,0.855,761.868622885572,0.112857944974733,0.1065,35.05,1.89225,4.80481574062859,-35.06725,42.3631913797034,0.187421383647798,15147.6644295303,10876.489932886,4271.17449664432,2.54648690692248
"27","pi6","pisi",3.97761728653033,-0.7766939,1.14320691524206,0.590971752186428,0.766,0.358,2.222,0.036,0.102,0.861,608.84598,0.147058823529412,0.121,43.7,1.75725,4.47825344593246,-35.30325,43.535161934224,0.169054441260741,20110.0231638423,14757.4751412433,5352.54802259899,2.75709345884161
"28","ps1","psse",3.32246200747357,-0.6619036,1.08318451644585,0.504457617201334,0.783,0.323,2.744,0.031,0.095,0.895,296.189768780488,0.184684684684685,0.204,50.35,7.033,2.6999378848738,-33.572625,44.1948702987366,0.19880715705765,9838.67500000021,7120.17500000015,2718.50000000006,2.61915578443995
"29","ps2","psse",3.14039622619528,-0.6294294,0.859141551921228,0.532166435407718,0.777,0.33,2.602,0.03,0.091,0.887,330.364837586207,0.152631578947368,0.245,49.35,-1.155,2.03082091149935,-33.241625,40.9123816607707,0.243664717348931,8866.89599999987,6389.61599999991,2477.27999999996,2.57928695989149
"30","ps3","psse",3.13766660982446,-0.5259405,1.17611055469486,0.519683814767996,0.778,0.32,2.984,0.023,0.07,0.903,387.1588624,0.132978723404255,0.199,48.65,-1.936,2.37704875952399,-34.037625,44.359373111077,0.157676348547719,16464.4578947367,11847.4578947368,4616.99999999997,2.56605109264389
"31","ps4","psse",3.573406,-0.4595326,1.11696517008484,0.819981478802441,0.767,0.348,2.349,0.043,0.124,0.871,295.86722,0.182389937106918,0.3065,44.1,1.739,2.53553139454651,-33.579625,43.8460571548951,0.280467445742904,7536.90000000003,5449.97142857145,2086.92857142858,2.6114796180306
"32","ps5(weired)","psse",3.71625726552281,-0.8964511,1.03789861692357,0.403660013139301,0.745,0.33,2.668,0.005,0.016,0.89,326.884405384615,0.18705035971223,0.158,54.2,3.299,2.45830186932675,-34.212625,43.6889289309058,0.311811023622048,4689.99999999999,3456.54545454545,1233.45454545454,2.80232900943396
"33","ps6","psse",4.30746711868448,-0.6847836,1.17511765939289,0.57518126231032,0.785,0.358,2.892,0.048,0.136,0.89,307.502633333333,0.167597765363129,0.211,47.25,3.313,2.35824318266309,-32.602625,43.3367983965038,0.237609329446067,11113.7852760735,8281.82208588947,2831.96319018401,2.92441021641646
"34","sm1","smla",4.57620857062424,-0.602711,1.24434867683136,0.431957751105142,0.794,0.384,2.246,0.041,0.108,0.854,279.811091962906,0.269471053727613,0.1375,43.95,-0.0827500000000001,2.00757540948421,-32.90325,47.9156740778943,0.440052700922259,7703.4287425151,5714.21317365279,1989.21556886231,2.87259624502181
"35","sm2","smla",1.3192650772098,-0.3223944,0.134771364639224,0.0137911343487025,0.776,0.393,1.9,0.021,0.053,0.829,376.234201070336,0.216269841269841,0.138,35.15,2.71525,2.33543256461551,-33.46025,46.3049045948866,0.569696969696961,8790.3111702129,6486.49468085116,2303.81648936174,2.8155431262879
"36","sm3","smla",3.4215233764849,-1.069903,0.586169251899733,0.190746520289493,0.789,0.338,3.031,0.042,0.123,0.9,264.201995941375,0.260422783323547,0.154,41.85,0.15125,2.26378009256671,-32.85425,46.77110952561,0.381111111111111,7873.18950437318,5900.71137026239,1972.47813411079,2.9915218162469
"37","sm4","smla",2.55603076022928,-0.5325849,0.701736371724051,0.233295745981939,0.793,0.349,2.509,0.028,0.08,0.878,353.766694745763,0.256521739130435,0.1185,37.15,-0.33175,2.08135961836068,-32.43125,47.3288162424144,0.427199999999999,5880.17977528091,4421.75280898877,1458.42696629214,3.03186440677966
"38","sm6","smla",2.34614569969314,-0.4554215,0.401362165210779,0.136747573024198,0.772,0.375,2.421,0.029,0.077,0.866,427.440720071685,0.183311432325887,0.1325,33.3,3.80125,2.51127157459194,-33.07525,46.5601068131222,0.390769230769222,8226.37913385845,6114.46181102376,2111.91732283469,2.89521836149187
"39","te1","tebi",3.29503013712713,-0.6546459,0.706387703271297,0.146649365420655,0.775,0.439,2.155,0.035,0.08,0.831,564.167236504425,0.0835181079083518,0.219,35.55,3.01625,3.87250040896045,-31.89325,40.4370618213502,0.168012219070479,7622.22857142853,6081.70909090906,1540.51948051947,3.94783004552352
"40","te2","tebi",3.65416414102693,-0.6627068,0.615910551094715,0.114962052935353,0.789,0.508,1.782,0.037,0.072,0.778,506.845765745856,0.0915991902834008,0.2155,38.05,3.11825,3.86030924418088,-32.02425,42.6754074158872,0.147024504084013,7971.88095238099,6299.97619047622,1671.90476190477,3.7681429792082
"41","te3","tebi",3.3181533447056,-0.6831597,0.675829752883276,0.0863204094220206,0.785,0.431,2.223,0.028,0.064,0.838,552.007601831502,0.0900395778364116,0.212,36.35,3.05825,3.88062758371442,-33.95825,40.8798710235563,0.169446883230907,5592.13678756467,4599.61865284967,992.518134715009,4.63429179978701
"42","te4","tebi",5.217814,-0.4654695,1.65959154227111,0.200337494447448,0.785,0.506,1.573,0.056,0.111,0.757,509.464187323944,0.0897976391231029,0.2205,39.5,4.15125,4.19359456285654,-32.63325,42.5014473239293,0.1491116751269,7521.56680851083,5819.90297872355,1701.66382978728,3.42012498405815
"43","te6","tebi",4.26696486384314,-0.2513558,1.06163544926156,0.581069518250439,0.777,0.411,1.95,0.04,0.098,0.826,560.676590291262,0.0864335664335664,0.203,33.1,5.05125,3.83592783496144,-32.93025,41.3248495634809,0.157082748948108,7174.38616071422,5404.11830357138,1770.26785714284,3.05271221062188
