number,species,site,region,sequence,crown.exp,canopy_scope,mode,X9,seen
moumz_15_2,moum,gzt15_2,ZT,2,2,8,TS,NA,1
hyviz_15_3,hyvi,gzt15_3,ZT,3,2,10.5,AAR,NA,1
smlaz_15_3,smla,gzt15_3,ZT,3,2,11.5,TT,NA,1
tebiz_15_3,tebi,gzt15_3,ZT,3,1,1.5,TT,NA,1
aeacz_15_3,aeac,gzt15_3,ZT,3,1.5,5.5,AAR,NA,1
pssez_15_3,psse,gzt15_3,ZT,3,1,2,AAR,NA,1
smchz_15_4,smch,gzt15_4,ZT,4,1,6.5,TT,NA,1
pssez_15_4,psse,gzt15_4,ZT,4,1,5.5,AAR,NA,1
hyviz_15_4,hyvi,gzt15_4,ZT,4,1,4.5,AAR,NA,1
mutaz_15_4,muta,gzt15_4,ZT,4,3,9,TS,NA,1
fiolz_15_4,fiol,gzt15_4,ZT,4,2.5,9,TB,NA,1
tebiz_16_1,tebi,gzt16_1,ZT,1,2.5,16,TT,NA,1
smbrz_16_1,smbr,gzt16_1,ZT,1,3,12.5,TT,NA,1
smlaz_16_1,smla,gzt16_1,ZT,1,2.5,11.5,TT,NA,1
pisiz_16_1,pisi,gzt16_1,ZT,1,3,19.5,AAR,NA,1
pefoz_16_1,pefo,gzt16_1,ZT,1,3,25,TS,NA,1
hyviz_16_2,hyvi,gzt16_2,ZT,2,2,10.5,AAR,NA,1
pssez_16_2,psse,gzt16_2,ZT,2,2,10.5,AAR,NA,1
smbrz_16_2,smbr,gzt16_2,ZT,2,2,6.5,TT,NA,1
hyfaz_16_2,hyfa,gzt16_2,ZT,2,2,11.5,AAR,NA,1
tebiz_16_2,tebi,gzt16_2,ZT,2,2,11.5,TT,NA,1
ruswz_16_2,rusw,gzt16_2,ZT,2,2,9.5,SH,NA,1
pefoz_16_2,pefo,gzt16_2,ZT,2,2.5,12.5,TS,NA,1
mutaz_16_3,muta,gzt16_3,ZT,3,1.5,7,TS,NA,1
hyfaz_16_3,hyfa,gzt16_3,ZT,3,2,7.5,AAR,NA,1
