number,species,site,region,sequence,crown exp,canopy_scope,have record,have plot,resurvey
hyviz_3_3,hyvi,gzt_3_3,ZT,3,2,6,iron,,m
hyviz_3_4,hyvi,gzt_3_4,ZT,4,1.5,7.5,iron,,m
pssez_4_1,psse,gzt_4_1,ZT,1,2,4.5,1,1,1
tebiz_4_1,tebi,gzt_4_1,ZT,1,2,3.5,1,1,m
hyviz_4_1,hyvi,gzt_4_1,ZT,1,2,7.5,1,1,0
cafoz_4_1,cafo,gzt_4_1,ZT,1,1.5,5.5,1,1,1
cafoz_4_2,cafo,gzt_4_2,ZT,2,1.5,4.5,1,1,1
hyviz_4_2,hyvi,gzt_4_2,ZT,2,1,2.5,1,1,0
tebiz_4_2,tebi,gzt_4_2,ZT,2,1,3.5,1,1,m
smlaz_4_2,smla,gzt_4_2,ZT,2,2,6.5,1,1,0
pssez_4_2,psse,gzt_4_2,ZT,2,1,2.5,1,1,1
pefoz_4_2,pefo,gzt_4_2,ZT,2,2,5.5,1,1,1
pisi_8_1,pisi,g08_1,L6,1,2,4,1,1,1
cafo_8_2,cafo,g08_2,L6,2,1.5,4,1,1,1
pisi_8_2,pisi,g08_2,L6,2,1,2.5,1,1,1
tebi_8_3,tebi,g08_3,L6,3,2,8.5,1,1,m
cafo_8_3,cafo,g08_3,L6,3,1.5,4.5,1,1,1
cafo_8_4,cafo,g08_4,L6,4,1,3.5,1,1,1
cafo_4_1,cafo,g04_1,L6,1,2,5.5,1,1,1
smla_4_1,smla,g04_1,L6,1,2,6.5,1,1,0
smla_4_2,smla,g04_2,L6,2,1.5,1.5,1,1,1
cafo_4_2,cafo,g04_2,L6,2,1.5,5,1,1,m
cafo_4_3,cafo,g04_3,L6,3,2.5,8,1,1,1
pefo_4_3,pefo,g04_3,L6,3,2.5,10,1,1,0
hyvi_4_3,hyvi,g04_3,L6,3,1,3,1,1,1
cafo_4_4,cafo,g04_4,L6,4,1,3,1,1,1
tebi_4_4,tebi,g04_4,L6,4,1,2.5,1,1,m
smlaz_15_1,smla,gzt15_1,ZT,1,3,19.5,1,1,1
tebiz_15_1,tebi,gzt15_1,ZT,1,3,19.5,1,1,0
pisiz_15_1,pisi,gzt15_1,ZT,1,2,11.5,1,1,1
aeacz_15_2,aeac,gzt15_2,ZT,2,1.5,6,1,1,1
pssez_15_2,psse,gzt15_2,ZT,2,1.5,7,1,1,1
hyviz_15_3,hyvi,gzt15_3,ZT,3,2,10.5,1,1,0
smlaz_15_3,smla,gzt15_3,ZT,3,2,11.5,1,1,1
tebiz_15_3,tebi,gzt15_3,ZT,3,1,1.5,1,1,1
aeacz_15_3,aeac,gzt15_3,ZT,3,1.5,5.5,1,1,1
pssez_15_3,psse,gzt15_3,ZT,3,1,2,1,1,1
pssez_15_4,psse,gzt15_4,ZT,4,1,5.5,1,1,1
hyviz_15_4,hyvi,gzt15_4,ZT,4,1,4.5,1,1,1
tebiz_16_1,tebi,gzt16_1,ZT,1,2.5,16,1,1,1
smlaz_16_1,smla,gzt16_1,ZT,1,2.5,11.5,1,1,1
pisiz_16_1,pisi,gzt16_1,ZT,1,3,19.5,1,1,0
pefoz_16_1,pefo,gzt16_1,ZT,1,3,25,1,1,1
hyviz_16_2,hyvi,gzt16_2,ZT,2,2,10.5,1,1,1
pssez_16_2,psse,gzt16_2,ZT,2,2,10.5,1,1,1
tebiz_16_2,tebi,gzt16_2,ZT,2,2,11.5,1,1,1
pefoz_16_2,pefo,gzt16_2,ZT,2,2.5,12.5,1,1,0
pefoz_16_3,pefo,gzt16_3,ZT,3,2,11.5,1,1,1
