"","tag","species","Amax","Rd","Trmax","Tr0","Fv/Fm","fv'/fm'","NPQ","PhiPS2","qP","qN","SLA","LDMC","thickness","spad","£_15N","N%","£_13C","C%","ldmcextract","Chlorophylltotal","Chlorophylla","Chlorophyllb","chlorophylla/b","old"
"31","ps1","psse",5.25648658238663,-0.956596511829209,1.17242927799243,0.528512708267131,0.791,0.282,2.988,0.091,0.322,0.914,224.043617708333,0.2152466367713,0.205,56.4,4.91225,2.66604205313773,-31.69425,46.3397796997702,0.128888888888885,18148.8000000006,13135.6965517246,5013.10344827603,2.62027238959967,"old"
"32","ps2","psse",2.46580144217211,-0.697530563313185,0.658721210555498,0.429467855562072,0.761,0.309,2.509,0.073,0.237,0.89,198.495127307692,0.235294117647059,0.238,54.15,2.00525,2.38184408768729,-32.26325,46.038134897735,0.168091168091181,10549.73898305,7740.51864406719,2809.22033898283,2.75539748045178,"old"
"33","ps3","psse",6.49418222583235,-0.850403550583069,1.46921605445761,0.395148128162518,0.783,0.303,3.074,0.105,0.346,0.91,175.62482046,0.261780104712042,0.2195,51.85,-0.14575,2.4230070860197,-31.97125,47.5337334481346,0.132211538461551,17464.7272727257,13032.4545454533,4432.27272727232,2.9403548354015,"old"
"34","ps4","psse",4.23366750062897,-0.896932557484621,0.774818547537778,0.41906304493529,0.765,0.36,2.018,0.071,0.197,0.848,158.276799333333,0.24223602484472,0.29,64.85,2.21125,2.59516168857511,-30.95525,46.7683916369804,0.142857142857145,15609.4188679243,11608.2113207545,4001.20754716975,2.90117700316886,"old"
"35","ps5","psse",6.50172361147557,-0.686803524489419,1.20845524802263,0.707047605718761,0.787,0.352,2.38,0.14,0.398,0.871,188.431074857143,0.212121212121212,0.29,67.65,-1.11075,2.68073073225408,-29.92725,48.1432014846546,0.187376725838266,13131.587368421,9655.3768421052,3476.21052631577,2.77755813953488,"old"
"36","ps6","psse",3.52722420467169,-1.27471545561498,1.04438459369954,0.603282967536562,0.759,0.328,2.444,0.058,0.177,0.882,197.859810404762,0.229508196721311,0.224,56.35,5.34725,2.36553578326451,-31.79425,46.0615126198918,0.181132075471695,11013.9250000002,8173.17500000014,2840.75000000005,2.87711871864824,"old"
"37","sm1","smla",7.49749974824483,-0.919836888262544,1.57387019567683,0.642803017129971,0.774,0.301,2.671,0.109,0.362,0.899,276.358745271566,0.295004712535344,0.125,33.45,1.30325,2.81902367891494,-31.53025,48.6981517277712,0.345335515548276,7462.83530805699,5560.58412322283,1902.25118483415,2.92315976331361,"old"
"38","sm2","smla",2.22416221299708,-0.596596997376954,0.465007159784704,0.208644377904024,0.751,0.262,2.777,0.03,0.114,0.914,348.467673218673,0.271333333333333,0.118,27.75,1.77725,2.87538942360678,-31.87125,47.0872276901691,0.239600665557407,9925.64999999987,7558.7749999999,2366.87499999997,3.19356746765249,"old"
"39","sm3","smla",7.7188944308132,-0.982300803319031,1.88226343493821,0.933138808412167,0.776,0.291,2.604,0.099,0.341,0.9,219.616238690476,0.240802675585284,0.198,50,1.93025,2.73410560300928,-29.60325,47.8148461760578,0.195419847328236,10825.9031250004,8036.46562500033,2789.43750000011,2.88103448275862,"old"
"40","sm4","smla",3.75332925231921,-0.456679191142473,0.923526669765921,0.399719428466271,0.762,0.509,0.974,0.049,0.097,0.657,309.450922366071,0.250839865621501,0.1195,30.65,1.89325,3.1967532945559,-30.64325,47.1263004206656,0.302803738317749,7156.73333333353,5412.06666666682,1744.66666666672,3.10206343141001,"old"
"41","sm5","smla",3.32366375938343,-0.604214384119726,0.650421670020561,0.0184664903752849,0.789,0.263,4.385,0.04,0.152,0.943,211.226843298969,0.336675665252603,0.1515,36.75,-1.16875,2.02986126273039,-29.44025,47.070640295177,0.254098360655742,8029.81451612888,5935.86290322569,2093.95161290319,2.83476603119584,"new"
"42","sm6","smla",2.76087549902009,-0.747477591984972,0.549718195889385,0.120284861178782,0.76,0.335,1.779,0.056,0.168,0.841,301.055517073171,0.289184952978056,0.121,32.45,3.72625,2.91689116446963,-32.26425,47.853792004585,0.208737864077672,12068.0744186045,9181.46976744177,2886.60465116276,3.18071605813541,"old"
"43","te1","tebi",2.84081060764539,-0.457330850189838,0.838759613315666,0.24799542217407,0.751,0.456,1.646,0.021,0.045,0.783,561.8581228125,0.0718778077268643,0.23,30.9,1.70225,3.95388765913235,-29.71625,42.1441847327888,0.0566585956416435,8786.47179487226,8069.9589743594,716.512820512859,11.2628256513026,"old"
"44","te2","tebi",3.01576688741103,-0.809706391293662,1.07843652661454,0.201576366271626,0.753,0.416,1.845,0.023,0.056,0.816,530.529138245614,0.0722983257229833,0.27,33.4,2.12725,4.1539551293745,-29.87925,41.5463837460712,0.078277153558053,7443.27272727268,6733.32057416263,709.952153110043,9.4841892438334,"old"
"45","te3","tebi",2.53356470086791,-0.880968538014392,0.596866473422306,0.232586392004086,0.751,0.297,3.236,0.019,0.065,0.916,573.972089905363,0.0714768883878241,0.2485,30,2.93225,4.50000400660125,-30.16325,43.6741930093975,0.0676126878130235,8127.55555555533,7347.9999999998,779.555555555534,9.42588369441277,"old"
"46","te4","tebi",4.71648555415692,-1.04557703884008,0.762321087040926,0.15159639472185,0.775,0.364,2.674,0.04,0.109,0.88,558.4602,0.0709555345316935,0.242,31.95,3.57225,4.75726759802861,-28.81225,43.4814992285832,0.0662277304415187,8072.49824561398,7477.69122807012,594.807017543857,12.5716257668711,"old"
"47","te5","tebi",7.33409652099926,-1.46171802971319,1.38821187845445,0.269192382892602,0.782,0.534,1.269,0.088,0.164,0.704,454.485591152815,0.0833892242342947,0.2755,30.55,2.12125,4.48835170071541,-30.15925,44.1052716036358,0.0717787114845945,7188.11707317067,6708.4097560975,479.707317073167,13.9843807199512,"new"
"48","te6","tebi",4.97574165648687,-1.26178708028485,1.2112532017462,0.352020906710671,0.787,0.471,1.81,0.049,0.105,0.794,391.836555932203,0.0947247706422018,0.269,32.95,2.06725,4.18897209919738,-31.39125,42.7469717664758,0.0807672892478547,8534.59687499999,7840.28437499999,694.3125,11.2921550094518,"old"
